tplot	xplot	yplot	zplot
54	0.18717	0.224735	11.523
54.1	0.347248	0.618184	8.83515
54.2	0.83864	1.63091	6.82365
54.3	2.21759	4.44856	5.62148
54.4	6.04824	12.0459	7.24451
54.5	14.5423	23.7076	23.184
54.6	14.3955	6.9132	43.0282
54.7	4.88002	-4.02048	33.0283
54.8	-0.877311	-4.14762	24.8177
54.9	-3.07744	-5.14284	19.8876
55	-5.42261	-8.5377	17.7975
55.1	-9.34525	-13.9716	21.146
55.2	-12.8918	-14.2615	31.3618
55.3	-10.626	-5.75367	34.5733
55.4	-5.84348	-2.02451	28.8705
55.5	-3.56592	-2.67153	22.9523
55.6	-3.75549	-4.83906	18.7085
55.7	-5.84393	-8.98037	17.1898
55.8	-9.99945	-14.8074	21.7204
55.9	-13.2084	-13.7068	32.7742
56	-10.0821	-4.59847	34.4033
56.1	-5.18229	-1.62495	28.0558
56.2	-3.19079	-2.50961	22.1436
56.3	-3.53671	-4.73075	17.9617
56.4	-5.74005	-9.02842	16.5109
56.5	-10.1274	-15.2387	21.3969
56.6	-13.4921	-13.894	33.2985
56.7	-10.0247	-4.10857	34.6685
56.8	-4.85803	-1.20517	27.9152
56.9	-2.82371	-2.09257	21.8499
57	-3.08436	-4.13377	17.4858
57.1	-5.09892	-8.17394	15.5543
57.2	-9.42858	-14.832	19.4299
57.3	-13.782	-15.5056	32.2208
57.4	-10.8324	-4.68834	35.8044
57.5	-5.07068	-0.704533	28.848
57.6	-2.48217	-1.34258	22.3603
57.7	-2.34974	-2.93223	17.536
57.8	-3.75992	-6.04709	14.5934
57.9	-7.30254	-12.2579	15.6235
58	-12.9853	-18.0296	26.6255
58.1	-13.0218	-8.60285	37.4716
58.2	-6.84811	-0.574877	31.9721
58.3	-2.57161	-0.262447	24.5561
58.4	-1.52692	-1.26929	18.9186
58.5	-1.93887	-2.87673	14.783
58.6	-3.6623	-6.33983	12.4242
58.7	-7.795	-13.5945	14.5482
58.8	-14.1849	-19.1734	28.7487
58.9	-12.6266	-6.12517	38.6702
59	-5.39242	0.887699	30.9661
59.1	-1.37325	0.762739	23.4715
59.2	-0.281322	0.333942	17.9423
59.3	0.0174825	0.254119	13.7398
59.4	0.19578	0.426535	10.5274
59.5	0.512263	1.00385	8.08526
59.6	1.32583	2.63261	6.33537
59.7	3.57311	7.18258	5.87888
59.8	9.49721	18.0406	11.8088
59.9	17.3987	20.0455	36.6686
60	10.559	-2.22126	38.8456
60.1	0.752337	-5.07965	27.9026
60.2	-2.79915	-5.34971	22.0282
60.3	-5.11077	-7.8872	19.2139
60.4	-8.46894	-12.5063	20.9315
60.5	-12.0486	-14.3082	29.0603
60.6	-11.2006	-7.74224	34.0805
60.7	-7.03208	-3.07915	30.0201
60.8	-4.40829	-3.15988	24.3745
60.9	-4.31062	-5.18696	20.1648
61	-6.17884	-9.0221	18.66
61.1	-9.85881	-14.002	22.6638
61.2	-12.5841	-13.0296	31.9272
61.3	-10.0161	-5.41139	33.6138
61.4	-5.76105	-2.54553	28.1383
61.5	-3.95972	-3.42487	22.6887
61.6	-4.48221	-5.92922	19.0244
61.7	-6.94637	-10.4233	18.6484
61.8	-11.0247	-15.0394	24.8568
61.9	-12.5368	-11.1264	33.8673
62	-8.76489	-3.79704	32.5741
